0, 653, 01:43:29, 8, 9, 0
1, 1926, 01:47:30, 8, 10, 0
2, 422, 01:16:44, 6, 7, 0
3, 1530, 01:36:18, 4, 13, 0
4, 213, 02:25:51, 7, 17, 0
5, 132, 01:34:42, 3, 11, 0
6, 330, 01:49:04, 10, 8, 0
7, 1422, 02:02:06, 8, 11, 0
8, 1794, 02:05:04, 9, 13, 0
9, 378, 01:51:57, 9, 10, 0
10, 1639, 01:41:23, 9, 8, 0
11, 575, 01:28:51, 10, 4, 0
12, 1886, 02:41:52, 13, 16, 0
13, 491, 01:25:17, 7, 8, 0
14, 1018, 02:41:48, 11, 15, 0
15, 1577, 01:40:29, 10, 8, 0
16, 938, 01:57:48, 11, 9, 0
17, 946, 01:36:41, 7, 10, 0
18, 1551, 01:41:12, 10, 8, 0
19, 159, 02:35:10, 12, 13, 0
20, 641, 01:22:50, 6, 8, 0
21, 1296, 02:32:53, 13, 13, 0
22, 372, 01:58:42, 12, 9, 0
23, 1851, 00:55:25, 3, 6, 0
24, 305, 01:56:31, 7, 13, 0
25, 1637, 02:00:27, 10, 9, 0
26, 510, 02:05:02, 11, 10, 0
27, 285, 02:18:30, 9, 14, 0
28, 1230, 02:05:36, 12, 9, 0
29, 115, 01:45:09, 9, 8, 0
30, 629, 01:52:34, 8, 12, 0
31, 1512, 02:17:46, 12, 11, 0
32, 230, 01:44:15, 11, 6, 0
33, 223, 02:49:10, 17, 10, 0
34, 106, 01:43:43, 9, 9, 0
35, 1427, 02:09:33, 12, 8, 0
36, 1383, 02:33:13, 21, 4, 0
37, 1326, 01:41:05, 8, 11, 0
38, 1691, 03:08:31, 19, 13, 0
39, 688, 02:29:47, 16, 9, 0
40, 155, 01:21:16, 9, 4, 0
41, 1852, 01:41:31, 14, 4, 0
42, 1834, 02:05:16, 11, 10, 0
43, 1720, 01:47:46, 10, 9, 0
44, 516, 01:18:17, 5, 8, 0
45, 662, 02:09:04, 9, 13, 0
46, 738, 02:32:28, 14, 10, 0
47, 584, 02:10:52, 12, 10, 0
48, 907, 01:58:42, 8, 13, 0
49, 1240, 01:39:18, 9, 9, 0
50, 989, 01:44:55, 12, 6, 0
51, 304, 02:25:48, 10, 16, 0
52, 228, 02:01:08, 10, 9, 0
53, 185, 01:57:06, 12, 9, 0
54, 858, 02:43:04, 19, 8, 0
55, 208, 02:01:07, 9, 12, 0
56, 934, 02:13:10, 5, 17, 0
57, 402, 02:20:58, 9, 15, 0
58, 92, 01:58:21, 6, 14, 0
59, 1218, 01:42:08, 11, 7, 0
60, 542, 01:43:08, 9, 9, 0
61, 1670, 01:35:21, 8, 10, 0
62, 1078, 01:57:36, 10, 10, 0
63, 31, 01:59:18, 9, 11, 0
64, 1252, 02:03:24, 9, 11, 0
65, 922, 01:45:14, 9, 7, 0
66, 230, 01:47:55, 12, 6, 0
67, 973, 01:29:09, 8, 7, 0
68, 1323, 01:58:08, 11, 10, 0
69, 1650, 01:33:16, 6, 10, 0
70, 846, 00:45:40, 5, 4, 0
71, 930, 01:32:26, 5, 11, 0
72, 716, 02:31:21, 13, 11, 0
73, 1045, 01:49:07, 9, 10, 0
74, 483, 02:27:11, 12, 12, 0
75, 100, 01:44:12, 9, 9, 0
76, 1154, 02:08:01, 7, 13, 0
77, 982, 01:54:28, 8, 10, 0
78, 1398, 01:08:52, 5, 6, 0
79, 26, 01:50:59, 5, 14, 0
80, 684, 02:32:24, 14, 12, 0
81, 1352, 01:54:04, 11, 7, 0
82, 972, 01:44:33, 6, 11, 0
83, 1436, 01:28:42, 6, 10, 0
84, 1345, 01:56:28, 9, 11, 0
85, 241, 02:33:04, 14, 12, 0
86, 494, 02:28:45, 9, 14, 0
87, 260, 01:52:48, 8, 11, 0
88, 230, 02:18:38, 15, 9, 0
89, 1337, 01:52:14, 10, 8, 0
90, 1058, 02:29:36, 15, 11, 0
91, 754, 01:40:17, 10, 8, 0
92, 122, 01:42:27, 7, 11, 0
93, 1678, 02:41:10, 8, 18, 0
94, 120, 01:50:50, 8, 11, 0
95, 792, 02:22:50, 8, 15, 0
96, 489, 02:04:43, 11, 9, 0
97, 507, 01:34:05, 8, 9, 0
98, 1783, 01:04:20, 5, 5, 0
99, 413, 02:25:12, 11, 15, 0
100, 645, 01:51:30, 11, 8, 0
