0,1014,03:21:23,14,8,6,0
1,986,04:33:27,20,9,11,0
2,1973,04:51:19,20,7,13,0
3,1040,05:50:58,24,14,10,0
4,720,05:49:49,24,15,9,0
5,1931,04:52:43,19,11,8,0
6,923,03:25:40,15,5,10,0
7,1306,03:39:16,14,9,5,0
8,466,04:56:24,20,9,11,0
9,59,04:51:23,20,11,9,0
10,657,04:01:51,16,5,11,0
11,970,05:14:21,22,11,11,0
12,1492,04:02:12,19,10,9,0
13,366,04:03:17,16,6,10,0
14,253,03:57:32,18,10,8,0
15,622,03:07:50,15,5,10,0
16,100,05:18:53,21,10,11,0
17,136,04:26:39,18,5,13,0
18,1441,04:15:23,16,6,10,0
19,136,07:05:10,30,21,9,0
20,686,04:35:55,18,11,7,0
21,128,06:16:42,25,14,11,0
22,1671,03:21:26,14,6,8,0
23,519,05:50:56,23,8,15,0
24,1969,04:44:20,18,12,6,0
25,1909,04:56:40,21,10,11,0
26,1420,06:01:33,25,11,14,0
27,1109,05:37:40,24,10,14,0
28,1788,06:45:26,27,11,16,0
29,1160,05:24:21,23,7,16,0
30,706,04:41:18,20,10,10,0
31,906,03:47:47,15,9,6,0
32,1800,03:10:08,13,7,6,0
33,139,05:00:55,19,8,11,0
34,1078,04:18:29,16,7,9,0
35,319,07:15:55,27,13,14,0
36,749,03:42:27,16,3,13,0
37,1946,05:57:22,24,13,11,0
38,1790,04:06:53,17,10,7,0
39,1200,05:26:52,22,10,12,0
40,987,04:13:57,18,11,7,0
41,718,05:54:38,25,9,16,0
42,376,06:00:48,24,16,8,0
43,1643,05:42:16,23,13,10,0
44,640,06:27:24,28,16,12,0
45,1568,05:20:32,22,9,13,0
46,1183,04:59:40,21,10,11,0
47,611,02:24:40,10,5,5,0
48,808,03:29:03,13,6,7,0
49,481,05:04:41,22,10,12,0
50,262,04:39:59,19,8,11,0
51,1403,05:52:29,24,15,9,0
52,320,06:07:24,23,9,14,0
53,552,04:20:59,19,5,14,0
54,479,04:40:09,18,10,8,0
55,1388,03:44:57,16,6,10,0
56,1695,03:12:57,14,6,8,0
57,1453,04:49:58,19,13,6,0
58,418,02:43:06,13,9,4,0
59,858,05:37:52,26,9,17,0
60,1907,04:44:28,21,11,10,0
61,1914,02:29:46,11,5,6,0
62,235,04:31:40,19,6,13,0
63,1390,05:14:01,22,11,11,0
64,1355,06:30:23,28,14,14,0
65,221,05:07:27,20,10,10,0
66,158,04:38:44,20,8,12,0
67,479,03:31:16,16,10,6,0
68,608,04:51:27,19,11,8,0
69,461,03:07:57,12,6,6,0
70,942,03:45:16,15,8,7,0
71,924,04:13:12,19,10,9,0
72,1742,04:54:03,21,9,12,0
73,918,06:46:58,27,15,12,0
74,906,04:19:54,19,9,10,0
75,1544,05:36:43,24,15,9,0
76,60,06:04:23,23,9,14,0
77,960,07:51:20,32,20,12,0
78,394,05:47:35,23,9,14,0
79,675,06:18:11,28,16,12,0
80,1901,04:47:34,20,9,11,0
81,350,09:14:58,35,19,16,0
82,1984,03:39:19,16,5,11,0
83,1788,04:50:22,20,11,9,0
84,1613,02:37:14,11,7,4,0
85,1506,05:22:07,22,10,12,0
86,1996,06:12:12,24,12,12,0
87,555,04:13:16,20,10,10,0
88,452,03:26:51,15,8,7,0
89,1011,05:08:42,20,9,11,0
90,386,06:54:57,28,14,14,0
91,420,03:16:57,13,8,5,0
92,1980,04:16:03,18,12,6,0
93,39,04:49:14,19,11,8,0
94,1253,02:35:57,10,4,6,0
95,1572,03:10:21,13,7,6,0
96,106,04:35:48,17,10,7,0
97,673,03:56:27,18,7,11,0
98,132,04:25:07,17,8,9,0
99,458,04:06:52,18,10,8,0
100,683,05:11:20,21,11,10,0
101,1646,03:50:23,17,10,7,0
102,475,04:11:30,16,9,7,0
103,295,04:05:59,18,9,9,0
104,1455,05:00:52,21,15,6,0
105,1933,04:40:45,20,12,8,0
106,1375,04:30:33,17,10,7,0
107,395,05:38:24,24,16,8,0
108,257,03:52:53,17,13,4,0
109,1623,03:48:42,17,13,4,0
110,1779,02:12:37,9,7,2,0
111,607,04:18:17,18,12,6,0
112,715,04:50:22,19,9,10,0
113,1285,03:25:36,15,6,9,0
114,1965,04:25:06,18,9,9,0
115,926,05:35:11,23,14,9,0
116,1320,05:46:58,23,5,18,0
117,919,04:15:08,18,9,9,0
118,1900,05:49:39,26,16,10,0
119,25,04:07:28,17,7,10,0
120,1546,04:09:41,16,6,10,0
121,1347,04:43:29,19,10,9,0
122,1569,02:37:31,12,6,6,0
123,744,08:19:40,31,15,16,0
124,1969,04:52:45,19,11,8,0
125,636,04:45:54,20,8,12,0
126,1003,04:20:30,18,7,11,0
127,983,04:15:36,18,8,10,0
128,529,04:16:31,18,13,5,0
129,1739,04:21:21,18,10,8,0
130,964,03:29:35,14,7,7,0
131,1167,06:20:25,27,12,15,0
132,631,05:01:23,20,10,10,0
133,1872,04:47:21,21,14,7,0
134,1832,07:46:41,33,18,15,0
135,787,05:38:00,22,11,11,0
136,946,03:59:05,16,10,6,0
137,1178,04:40:00,19,11,8,0
138,1251,04:13:55,18,11,7,0
139,296,06:00:57,23,8,15,0
140,861,04:25:31,18,12,6,0
141,669,07:05:28,27,13,14,0
142,668,06:37:55,28,16,12,0
143,204,02:42:50,12,5,7,0
144,917,03:58:53,17,7,10,0
145,1624,03:44:37,15,8,7,0
146,1378,05:40:54,23,12,11,0
147,868,04:46:32,21,10,11,0
148,1988,05:30:55,22,10,12,0
149,22,06:57:16,28,13,15,0
150,619,03:20:38,14,8,6,0
151,1886,03:57:29,17,9,8,0
152,1597,05:19:59,22,10,12,0
153,18,07:15:41,29,18,11,0
154,1223,04:19:52,17,10,7,0
155,695,04:15:10,18,9,9,0
156,91,04:00:45,17,6,11,0
157,787,04:45:18,17,10,7,0
158,1735,04:18:40,18,8,10,0
159,1435,02:18:11,11,7,4,0
160,380,04:40:29,19,11,8,0
161,1435,06:04:33,25,9,16,0
162,1611,04:32:24,19,5,14,0
163,1426,02:58:55,14,6,8,0
164,61,04:47:40,21,14,7,0
165,1859,05:01:20,21,9,12,0
166,879,04:10:42,16,7,9,0
167,953,04:24:53,18,4,14,0
168,514,04:22:59,18,12,6,0
169,106,03:38:05,16,8,8,0
170,454,06:27:40,27,15,12,0
171,524,05:30:57,25,12,13,0
172,1522,04:40:10,19,8,11,0
173,1447,04:13:08,18,10,8,0
174,1677,06:17:25,25,8,17,0
175,1129,06:15:25,26,12,14,0
176,675,05:07:17,20,7,13,0
177,397,06:08:32,25,9,16,0
178,1745,04:04:30,18,10,8,0
179,1955,03:11:59,13,6,7,0
180,960,04:38:53,18,7,11,0
181,1885,04:10:40,17,7,10,0
182,1234,04:17:11,18,13,5,0
183,1993,04:35:17,19,10,9,0
184,1471,04:20:50,17,12,5,0
185,726,06:35:27,26,13,13,0
186,1814,05:48:19,25,15,10,0
187,1294,03:17:08,14,5,9,0
188,810,03:43:48,16,7,9,0
189,1106,08:29:47,34,17,17,0
190,591,05:44:09,24,14,10,0
191,67,06:03:48,25,14,11,0
192,1735,05:11:05,20,9,11,0
193,1287,04:14:03,19,10,9,0
194,369,04:21:22,16,9,7,0
195,484,03:38:55,14,2,12,0
196,1866,05:47:38,22,12,10,0
197,1888,04:36:06,17,6,11,0
198,551,03:24:52,15,9,6,0
199,873,03:42:38,15,9,6,0
200,883,04:45:35,20,12,8,0
201,1535,02:53:55,12,7,5,0
202,252,04:10:35,18,13,5,0
203,1950,04:55:30,19,2,17,0
204,316,04:32:05,19,10,9,0
205,390,04:51:52,20,9,11,0
206,1112,02:47:57,12,6,6,0
207,1923,06:58:16,29,16,13,0
208,951,03:25:30,15,8,7,0
209,736,03:57:41,16,5,11,0
210,1649,04:59:25,20,15,5,0
211,1502,04:16:57,18,9,9,0
212,737,05:27:49,22,10,12,0
213,694,07:28:02,30,15,15,0
214,343,03:48:50,17,5,12,0
215,1193,04:00:39,16,8,8,0
216,1789,04:26:45,19,10,9,0
217,202,04:10:17,20,12,8,0
218,104,04:30:03,18,11,7,0
219,1166,07:25:51,31,10,21,0
220,379,05:29:02,23,15,8,0
221,1929,03:52:24,16,6,10,0
222,1261,03:29:32,15,5,10,0
223,34,05:22:23,22,11,11,0
224,1190,06:21:47,26,7,19,0
225,1662,05:03:58,22,14,8,0
226,252,04:59:31,21,11,10,0
227,1599,04:42:43,21,12,9,0
228,1574,04:44:26,20,7,13,0
229,1687,03:22:56,13,6,7,0
230,278,07:07:21,28,14,14,0
231,582,04:48:43,18,10,8,0
232,1690,05:14:10,23,11,12,0
233,1566,05:30:57,22,9,13,0
234,1348,06:45:21,28,16,12,0
235,965,05:55:31,26,9,17,0
236,1275,04:23:41,19,10,9,0
237,1036,06:42:31,26,10,16,0
238,1638,05:44:31,22,11,11,0
239,1854,03:51:04,17,7,10,0
240,1439,04:47:48,18,9,9,0
241,731,05:48:09,25,9,16,0
242,377,02:52:09,12,7,5,0
243,493,04:28:50,19,13,6,0
244,459,05:15:25,20,9,11,0
245,1064,04:23:51,19,15,4,0
246,1268,04:26:44,19,13,6,0
247,752,06:01:26,24,14,10,0
248,3,05:53:28,26,14,12,0
249,825,05:21:12,24,14,10,0
250,1083,04:20:47,19,10,9,0
251,926,03:40:44,16,11,5,0
252,164,04:53:53,18,12,6,0
253,43,05:26:23,22,16,6,0
